number_e164,label,category,confidence,risk_level,source,updated_at
33162000000,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000001,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000002,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000003,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000004,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000005,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000006,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000007,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000008,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000009,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000010,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000011,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000012,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000013,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000014,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000015,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000016,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000017,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000018,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000019,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000020,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000021,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000022,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000023,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000024,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000025,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000026,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000027,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000028,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000029,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000030,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000031,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000032,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000033,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000034,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000035,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000036,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000037,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000038,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000039,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000040,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000041,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000042,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000043,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000044,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000045,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000046,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000047,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000048,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
